benchmark,scenario,noise_ratio,samples_per_client,num_clients,seed,method,exact_recovery,term_precision,term_recall,test_nmse,train_mse,spurious_accepted,exception_recovered,runtime_seconds,communication_bytes,search_evaluations,discovered_terms,expression,stop_reason
interaction,exception,0.1,300,4,9012,federated-tree-gp-style,0.0,0.25,0.3333333333333333,0.006824621624865261,0.16162043821687913,0.0,0.0,1.3100303199998962,620736,1569,"expr:add(square(x3),x3);expr:mul(square(x3),square(x3));expr:square(add(square(x3),x3));x1*x2",0.195 + 0.4926*((x3)^2+x3) + 0.03629*((x3)^2*(x3)^2) + 0.993*(x1*x2) + 0.03007*(((x3)^2+x3))^2,generation budget reached
interaction,exception,0.1,300,4,9012,centralized-residual-counterexample-gp,0.0,0.5,0.6666666666666666,0.00930939278254452,0.13639232237355303,0.0,1.0,0.9721839869998803,0,1624,"I(x3>1)*x3^2;expr:add(cos(x1),square(x3));expr:sin(add(square(x2),x3));x1*x2",-0.0817 + 0.436*(cos(x1)+(x3)^2) + 0.8075*I(x3>1)*((x3)^2) + 1.031*(x1*x2) - 0.0515*sin(((x2)^2+x3)),generation budget reached
interaction,exception,0.1,300,4,9013,fedfalsify-v05,1.0,1.0,1.0,5.356114097739348e-05,0.07310419372955682,0.0,1.0,0.3542366770002445,246913,5,I(x3>1)*x3^2;x1*x2;x3^2,-0.00764 + 1.006·x₁x₂ + 0.748·𝟙[x₃>1]·x₃² + 0.4964·x₃²,target federated MSE reached; no replacement passed the federated certificate
interaction,exception,0.1,300,4,9013,centralized-tree-gp,0.0,0.0,0.0,0.14299760372204137,0.6028962776689168,0.0,0.0,0.8684926089999863,0,1570,"expr:add(square(x3),x3);expr:mul(sin(x2),x1);expr:square(add(sin(x3),square(x2)));expr:square(add(x1,x2))",-0.6039 + 0.8043*((x3)^2+x3) + 0.643*(sin(x2)*x1) - 0.02028*((sin(x3)+(x2)^2))^2 + 0.2592*((x1+x2))^2,generation budget reached
interaction,exception,0.1,300,4,9013,federated-tree-gp-style,0.0,0.0,0.0,0.1429976037220417,0.6028962776689167,0.0,0.0,1.1430112630000622,614912,1570,"expr:add(square(x3),x3);expr:mul(sin(x2),x1);expr:square(add(sin(x3),square(x2)));expr:square(add(x1,x2))",-0.6039 + 0.8043*((x3)^2+x3) + 0.643*(sin(x2)*x1) - 0.02028*((sin(x3)+(x2)^2))^2 + 0.2592*((x1+x2))^2,generation budget reached
interaction,exception,0.1,300,4,9013,centralized-residual-counterexample-gp,0.0,0.0,0.0,0.04392960467773353,0.3614112083462916,0.0,0.0,0.9125646279999273,0,1591,"expr:add(square(x3),x3);expr:square(add(sin(x1),x1));expr:square(add(x1,x2));expr:square(add(x2,x2))",0.3101 + 0.7983*((x3)^2+x3) - 0.2436*((sin(x1)+x1))^2 + 0.465*((x1+x2))^2 - 0.1149*((x2+x2))^2,generation budget reached
interaction,exception,0.1,300,4,9014,fedfalsify-v05,1.0,1.0,1.0,1.2685377536801319e-05,0.07379793697650287,0.0,1.0,0.9159184990003268,991726,6,I(x3>1)*x3^2;x1*x2;x3^2,0.004467 + 0.9967·x₁x₂ + 0.7508·𝟙[x₃>1]·x₃² + 0.5012·x₃²,target federated MSE reached; no replacement passed the federated certificate
interaction,exception,0.1,300,4,9014,centralized-tree-gp,0.0,0.25,0.3333333333333333,0.004803356167133714,0.13726492850604255,0.0,0.0,0.8862360870002703,0,1577,"expr:square(add(sin(x3),square(x3)));expr:square(mul(cos(x3),sin(x2)));expr:square(mul(cos(x3),x3));x1*x2",0.5518 + 0.9934*(x1*x2) + 0.2192*((sin(x3)+(x3)^2))^2 - 0.5763*((cos(x3)*sin(x2)))^2 - 0.8645*((cos(x3)*x3))^2,generation budget reached
interaction,exception,0.1,300,4,9014,federated-tree-gp-style,0.0,0.25,0.3333333333333333,0.00480335616713371,0.13726492850604255,0.0,0.0,1.1180235900001207,617472,1577,"expr:square(add(sin(x3),square(x3)));expr:square(mul(cos(x3),sin(x2)));expr:square(mul(cos(x3),x3));x1*x2",0.5518 + 0.9934*(x1*x2) + 0.2192*((sin(x3)+(x3)^2))^2 - 0.5763*((cos(x3)*sin(x2)))^2 - 0.8645*((cos(x3)*x3))^2,generation budget reached
interaction,exception,0.1,300,4,9014,centralized-residual-counterexample-gp,0.0,0.3333333333333333,0.3333333333333333,0.009158366432581133,0.19947713835542327,0.0,0.0,0.9456559290001678,0,1545,"expr:mul(cos(x3),square(x3));expr:square(add(sin(x3),square(x3)));x1*x2",0.1736 + 0.612*(cos(x3)*(x3)^2) + 0.9983*(x1*x2) + 0.2362*((sin(x3)+(x3)^2))^2,generation budget reached
interaction,exception,0.1,300,4,9015,fedfalsify-v05,1.0,1.0,1.0,3.205411703492214e-05,0.08718491096562403,0.0,1.0,0.6864837959997203,769412,5,I(x3>1)*x3^2;x1*x2;x3^2,0.01396 + 1.006·x₁x₂ + 0.7509·𝟙[x₃>1]·x₃² + 0.4978·x₃²,target federated MSE reached; no replacement passed the federated certificate
interaction,exception,0.1,300,4,9015,centralized-tree-gp,0.0,0.25,0.3333333333333333,0.007676852734144402,0.16530867172351812,0.0,0.0,1.3371569490000184,0,1585,"expr:square(add(sin(x3),square(x3)));expr:square(mul(cos(x3),cos(x3)));expr:square(mul(x3,x3));x1*x2",0.8295 + 1.012*(x1*x2) + 0.2123*((sin(x3)+(x3)^2))^2 - 1.057*((cos(x3)*cos(x3)))^2 - 0.06572*((x3*x3))^2,generation budget reached
interaction,exception,0.1,300,4,9015,federated-tree-gp-style,0.0,0.25,0.3333333333333333,0.007676852734144421,0.1653086717235181,0.0,0.0,1.964513110000098,636800,1585,"expr:square(add(sin(x3),square(x3)));expr:square(mul(cos(x3),cos(x3)));expr:square(mul(x3,x3));x1*x2",0.8295 + 1.012*(x1*x2) + 0.2123*((sin(x3)+(x3)^2))^2 - 1.057*((cos(x3)*cos(x3)))^2 - 0.06572*((x3*x3))^2,generation budget reached
interaction,exception,0.1,300,4,9015,centralized-residual-counterexample-gp,0.0,0.25,0.3333333333333333,0.003366088680673204,0.12227621055005945,0.0,0.0,1.5540383979996477,0,1602,"expr:mul(cos(x3),cos(x3));expr:square(add(sin(x3),square(x3)));expr:square(mul(cos(x3),x3));x1*x2",0.7363 - 0.7026*(cos(x3)*cos(x3)) + 1.008*(x1*x2) + 0.2066*((sin(x3)+(x3)^2))^2 - 0.6951*((cos(x3)*x3))^2,generation budget reached
base,complementary,0.03,300,4,9016,fedfalsify-v05,1.0,1.0,1.0,2.7225248661310707e-06,0.007547908717459523,0.0,1.0,0.5699831609999819,238339,5,sin(x2);x1;x3^2,0.003218 + 1.999·x₁ + 0.4977·x₃² + 0.995·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.03,300,4,9016,centralized-tree-gp,0.0,0.25,0.3333333333333333,2.705620298049083e-06,0.007547775260405943,0.0,1.0,2.4187289040000906,0,1618,"expr:add(square(x3),x2);expr:add(x1,x1);sin(x2);x2",0.003254 + 0.4977*((x3)^2+x2) + 0.9996*(x1+x1) + 0.9942*sin(x2) - 0.4973*x2,generation budget reached
base,complementary,0.03,300,4,9016,federated-tree-gp-style,0.0,0.25,0.3333333333333333,2.7056202980490247e-06,0.007547775260405941,0.0,1.0,2.4847424219997265,655104,1618,"expr:add(square(x3),x2);expr:add(x1,x1);sin(x2);x2",0.003254 + 0.4977*((x3)^2+x2) + 0.9996*(x1+x1) + 0.9942*sin(x2) - 0.4973*x2,generation budget reached
base,complementary,0.03,300,4,9016,centralized-residual-counterexample-gp,0.0,0.25,0.3333333333333333,2.705620298049083e-06,0.007547775260405943,0.0,1.0,1.5774866869996913,0,1623,"expr:add(square(x3),x2);expr:add(x1,x1);sin(x2);x2",0.003254 + 0.4977*((x3)^2+x2) + 0.9996*(x1+x1) + 0.9942*sin(x2) - 0.4973*x2,generation budget reached
base,complementary,0.03,300,4,9017,fedfalsify-v05,1.0,1.0,1.0,4.2019006230389286e-06,0.008424069391191249,0.0,1.0,0.48803873999986536,238371,5,sin(x2);x1;x3^2,2.004·x₁ + 0.5001·x₃² + 1·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.03,300,4,9017,centralized-tree-gp,0.0,0.0,0.0,0.0087626484341274,0.06008965389522987,0.0,1.0,1.5155331299993122,0,1616,"cos(x3);expr:add(cos(x2),x1);expr:add(sin(x1),x1);expr:add(sin(x2),x1)",1.354 + 0.08552*(cos(x2)+x1) + 0.5414*(sin(x1)+x1) + 1.079*(sin(x2)+x1) - 1.468*cos(x3),generation budget reached
base,complementary,0.03,300,4,9017,federated-tree-gp-style,0.0,0.0,0.0,0.00876264843412743,0.06008965389522987,0.0,1.0,1.7237185060002957,665664,1616,"cos(x3);expr:add(cos(x2),x1);expr:add(sin(x1),x1);expr:add(sin(x2),x1)",1.354 + 0.08552*(cos(x2)+x1) + 0.5414*(sin(x1)+x1) + 1.079*(sin(x2)+x1) - 1.468*cos(x3),generation budget reached
base,complementary,0.03,300,4,9017,centralized-residual-counterexample-gp,0.0,0.0,0.0,0.007333187777076253,0.06629530673441156,0.0,1.0,0.911033555999893,0,1556,"expr:add(sin(x1),x1);expr:add(sin(x2),x1);expr:add(square(x3),x2);expr:sin(add(cos(x3),sin(x1)))",0.9141 + 1.138*(sin(x1)+x1) + 0.7575*(sin(x2)+x1) + 0.1523*((x3)^2+x2) - 1.38*sin((cos(x3)+sin(x1))),generation budget reached
base,complementary,0.03,300,4,9018,fedfalsify-v05,1.0,1.0,1.0,2.7691561565760877e-06,0.008605366321029408,0.0,1.0,0.3008865980000337,238363,5,sin(x2);x1;x3^2,0.001741 + 2.001·x₁ + 0.4983·x₃² + 0.9933·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
